id,company_id,year,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,reporting_period
1,ABB,2019,844312.98,814410.48,19.29,14.26,22.84,0.84,2019
2,ABB,2020,923674.33,1120679.72,67.54,13.03,24.93,3.9,2020
3,ABB,2021,1020674.09,1166450.81,62.63,6.67,7.58,1.58,2021
4,ABB,2022,1185994.82,1158637.42,18.68,4.75,6.12,3.35,2022
5,ABB,2023,1161513.28,1103083.77,58.34,12.72,5.7,1.05,2023
6,ABB,2024,1536236.24,1619349.16,75.58,4.48,12.63,0.96,2024
7,ADANIENSOL,2019,171905.69,222090.81,76.72,12.85,34.64,2.97,2019
8,ADANIENSOL,2020,217135.25,213517.12,35.93,9.79,35.62,2.97,2020
9,ADANIENSOL,2021,275655.59,300348.76,59.65,14.71,10.37,4.17,2021
10,ADANIENSOL,2022,306303.52,354481.15,71.21,6.44,19.65,2.37,2022
11,ADANIENSOL,2023,263283.51,289260.77,28.96,13.96,8.07,2.07,2023
12,ADANIENSOL,2024,348517.36,439276.19,58.5,9.05,14.83,1.65,2024
13,ADANIENT,2019,173718.83,178851.86,56.08,5.69,21.25,2.5,2019
14,ADANIENT,2020,217309.44,213933.01,36.71,2.39,7.65,2.72,2020
15,ADANIENT,2021,205258.66,189642.53,72.59,8.25,9.71,0.24,2021
16,ADANIENT,2022,186771.02,203306.77,56.13,9.8,10.05,2.85,2022
17,ADANIENT,2023,196563.95,213448.3,65.7,5.32,10.14,3.93,2023
18,ADANIENT,2024,187927.97,191237.75,58.87,10.41,33.01,0.83,2024
19,ADANIGREEN,2019,485373.12,541878.15,29.07,10.49,5.01,0.27,2019
20,ADANIGREEN,2020,517543.72,664150.23,72.14,14.91,19.59,0.21,2020
21,ADANIGREEN,2021,519085.0,607489.51,17.73,4.85,6.97,2.14,2021
22,ADANIGREEN,2022,495446.05,463984.83,37.61,5.59,23.81,3.37,2022
23,ADANIGREEN,2023,449015.01,546204.41,9.89,6.92,25.56,4.31,2023
24,ADANIGREEN,2024,510512.78,491878.9,45.26,6.24,21.78,0.89,2024
25,ADANIPORTS,2019,697221.18,835004.1,50.76,1.64,36.14,2.77,2019
26,ADANIPORTS,2020,702836.27,645384.3,53.52,5.91,36.77,0.16,2020
27,ADANIPORTS,2021,611152.14,782103.44,77.47,0.9,30.06,1.0,2021
28,ADANIPORTS,2022,733808.16,915420.63,15.26,3.96,5.84,0.2,2022
29,ADANIPORTS,2023,634603.85,774389.91,29.48,7.65,32.57,2.23,2023
30,ADANIPORTS,2024,675598.01,611165.74,48.9,2.31,31.76,1.16,2024
31,ADANIPOWER,2019,1188256.85,1362538.77,27.22,4.37,35.21,0.06,2019
32,ADANIPOWER,2020,1117866.08,1278915.22,66.83,5.7,27.87,2.51,2020
33,ADANIPOWER,2021,986259.76,1132916.67,66.6,14.89,6.04,2.97,2021
34,ADANIPOWER,2022,1042747.57,942555.33,52.23,2.28,18.25,1.18,2022
35,ADANIPOWER,2023,1074636.56,1178960.38,33.86,8.51,13.35,2.86,2023
36,ADANIPOWER,2024,1372183.55,1357949.64,44.57,9.91,24.76,1.65,2024
37,AMBUJACEM,2019,833955.32,873953.9,46.35,0.8,22.77,2.94,2019
38,AMBUJACEM,2020,1025434.68,969394.29,79.32,9.29,17.71,1.12,2020
39,AMBUJACEM,2021,1165353.63,1459820.61,45.48,10.09,17.52,1.75,2021
40,AMBUJACEM,2022,1157298.18,1368221.47,33.86,3.27,17.93,3.84,2022
41,AMBUJACEM,2023,1410892.33,1458659.98,73.29,1.59,6.74,0.57,2023
42,AMBUJACEM,2024,1281411.04,1198290.68,55.62,9.21,27.67,3.1,2024
43,APOLLOHOSP,2019,1083786.88,1245185.95,49.76,14.18,13.13,0.26,2019
44,APOLLOHOSP,2020,1275343.54,1525399.05,28.39,8.78,7.08,4.32,2020
45,APOLLOHOSP,2021,1154138.06,1069918.55,11.18,6.7,8.4,3.35,2021
46,APOLLOHOSP,2022,1499729.8,1505860.05,53.27,1.11,18.53,1.32,2022
47,APOLLOHOSP,2023,1446203.76,1674544.0,17.38,12.98,28.27,3.2,2023
48,APOLLOHOSP,2024,1905622.43,2433382.94,47.72,7.68,16.74,3.22,2024
49,ASIANPAINT,2019,1065817.17,1060968.11,30.34,5.08,33.21,0.45,2019
50,ASIANPAINT,2020,1148763.92,1230363.26,13.27,6.46,22.97,0.29,2020
51,ASIANPAINT,2021,1269304.94,1629400.62,78.48,8.21,23.03,1.28,2021
52,ASIANPAINT,2022,1711731.0,1728320.53,40.61,0.54,17.22,0.32,2022
53,ASIANPAINT,2023,2091585.31,2351790.62,49.2,4.65,33.52,0.01,2023
54,ASIANPAINT,2024,2126725.18,2475080.63,73.37,3.9,23.94,2.42,2024
55,ATGL,2019,1148243.4,1228379.56,21.14,0.81,10.15,4.39,2019
56,ATGL,2020,1099356.08,1400593.18,22.78,14.0,27.91,0.51,2020
57,ATGL,2021,1254318.65,1288694.02,35.59,6.88,19.79,2.99,2021
58,ATGL,2022,1548060.05,1597088.78,74.55,14.11,6.42,0.07,2022
59,ATGL,2023,1644865.15,1868991.35,28.01,4.26,28.74,2.71,2023
60,ATGL,2024,1535602.41,1925338.89,56.96,5.76,28.93,0.51,2024
61,AXISBANK,2019,658857.1,603890.3,32.36,2.69,27.17,3.03,2019
62,AXISBANK,2020,609012.03,554106.67,65.08,0.53,17.04,2.23,2020
63,AXISBANK,2021,766941.69,947497.75,60.2,4.08,30.21,1.11,2021
64,AXISBANK,2022,734196.42,821456.53,56.88,1.27,7.1,3.53,2022
65,AXISBANK,2023,939586.86,1072798.07,38.88,12.76,30.51,2.61,2023
66,AXISBANK,2024,948868.63,929130.29,38.14,4.66,16.87,2.32,2024
67,BAJAJ-AUTO,2019,323040.49,309541.21,42.63,11.32,21.98,1.62,2019
68,BAJAJ-AUTO,2020,351288.98,435411.55,79.31,9.65,32.77,0.07,2020
69,BAJAJ-AUTO,2021,453226.79,580864.47,49.41,11.43,22.95,1.29,2021
70,BAJAJ-AUTO,2022,578373.58,658614.05,49.72,10.06,34.96,3.29,2022
71,BAJAJ-AUTO,2023,552671.87,600604.78,78.58,8.54,37.84,3.66,2023
72,BAJAJ-AUTO,2024,653817.3,679803.97,29.91,9.83,20.14,3.59,2024
73,BAJAJFINSV,2019,1148808.62,1356848.11,43.61,5.19,19.45,4.03,2019
74,BAJAJFINSV,2020,1182995.84,1200693.12,33.33,3.61,24.06,0.66,2020
75,BAJAJFINSV,2021,1489062.77,1474517.75,51.06,2.31,39.25,2.05,2021
76,BAJAJFINSV,2022,1877835.72,2267409.89,59.39,12.5,8.52,3.05,2022
